2018년도 시군구별 교통사고,,,,
,,,,
시도,시군구,사고건수(건),사망자수(명),부상자수(명)
전국,합계,"217,148","3,781","323,037"
서울,합계,"38,795",304,"53,751"
서울,종로구,"1,134",6,"1,546"
서울,중구,"1,128",9,"1,506"
서울,용산구,"1,330",14,"1,852"
서울,성동구,"1,143",9,"1,561"
서울,동대문구,"1,699",14,"2,160"
서울,성북구,"1,427",14,"1,980"
서울,도봉구,824,6,"1,061"
서울,은평구,"1,134",12,"1,580"
서울,서대문구,"1,033",5,"1,403"
서울,마포구,"1,671",11,"2,429"
서울,강서구,"1,502",11,"2,208"
서울,구로구,"1,532",13,"2,129"
서울,영등포구,"2,493",22,"3,532"
서울,동작구,"1,412",9,"1,892"
서울,관악구,"1,300",8,"1,717"
서울,강남구,"3,459",20,"4,967"
서울,강동구,"1,418",12,"1,922"
서울,송파구,"2,860",27,"3,932"
서울,서초구,"2,478",18,"3,640"
서울,양천구,"1,428",11,"1,939"
서울,중랑구,"1,565",10,"2,135"
서울,노원구,"1,569",14,"2,227"
서울,광진구,"1,108",10,"1,474"
서울,강북구,"1,216",13,"1,633"
서울,금천구,932,6,"1,326"
부산,합계,"11,937",123,"16,468"
부산,중구,393,3,523
부산,서구,452,6,627
부산,동구,587,3,812
부산,영도구,332,5,423
부산,진구,"1,625",18,"2,179"
부산,동래구,952,6,"1,303"
부산,남구,797,9,"1,038"
부산,북구,688,6,934
부산,해운대구,"1,018",12,"1,452"
부산,사하구,"1,003",3,"1,378"
부산,금정구,792,7,"1,065"
부산,강서구,584,15,877
부산,연제구,657,5,863
부산,수영구,710,2,"1,004"
부산,사상구,914,15,"1,320"
부산,기장군,433,8,670
경기,합계,"53,448",678,"81,174"
경기,수원시,"4,997",39,"7,148"
경기,성남시,"3,834",37,"5,635"
경기,의정부시,"1,682",19,"2,401"
경기,안양시,"1,618",14,"2,356"
경기,부천시,"3,236",22,"4,550"
경기,안산시,"3,878",42,"5,909"
경기,평택시,"3,388",51,"5,465"
경기,광명시,"1,076",12,"1,520"
경기,구리시,668,11,966
경기,양주시,"1,094",19,"1,629"
경기,여주시,513,14,814
경기,화성시,"2,716",59,"4,257"
경기,시흥시,"2,434",29,"3,652"
경기,파주시,"1,693",22,"2,585"
경기,고양시,"3,950",38,"5,889"
경기,광주시,"1,691",19,"2,622"
경기,연천군,189,6,313
경기,포천시,832,16,"1,413"
경기,가평군,380,11,682
경기,양평군,532,15,826
경기,이천시,"1,016",19,"1,626"
경기,용인시,"3,205",37,"5,116"
경기,안성시,"1,026",19,"1,740"
경기,김포시,"1,682",24,"2,664"
경기,동두천시,406,11,576
경기,과천시,239,1,385
경기,군포시,659,7,954
경기,남양주시,"2,431",41,"3,903"
경기,오산시,962,10,"1,409"
경기,의왕시,444,5,726
경기,하남시,977,9,"1,443"
강원,합계,"7,498",197,"11,922"
