　,,응답자수,대중교통 이용이 불편하다,택시기사 서비스가 불편하다,관광 가이드의 서비스가 좋지 않다,쇼핑 품목이 다양하지 못하다,상품 구입을 강요한다,기타,불만족 하거나 불편했던 점이 없다
[전체],,"6,181",5.3,1.5,0.3,2.8,0.6,7.1,63.6
거주지,서울시,"1,467",7.7,1.6,0.4,3.4,0.4,9.8,60.3
,부산시,724,3.6,0.8,0.3,2.9,0.2,4,68.5
,대구시,538,3.9,1.6,0.4,1.6,0.6,7.3,66.6
,인천시,375,3.8,1.4,0.3,3.3,1,3.5,66.6
,광주시,215,7.5,2.3,0,1.6,0.7,5.4,68.7
,대전시,185,3.5,1.4,0,2.6,0,5.6,56
,울산시,187,2.6,0.1,0,1.3,0.7,5.7,67.7
,세종시,34,3.3,3.7,0,3.7,0,7.7,69.9
,경기도,"1,284",6,1.6,0.3,2.6,0.8,7.5,64.5
,강원도,99,6.2,2.4,0,3.5,1.3,10,52
,충청도,262,5,1.6,0,4.4,1.4,9.2,51.1
,전라도,385,2.1,0.5,0.1,1.6,0,4.8,68.4
,경상도,416,5.5,2.7,0.3,3.2,0.6,6.6,61.9
,기타 지역,11,0,0,0,21.6,0,11.9,45
성별,남자,"2,600",5.4,1.5,0.4,3.3,0.5,7.1,62.1
,여자,"3,581",5.2,1.5,0.2,2.5,0.6,7.1,64.7
연령,15세 - 20세,127,26,1.3,0.9,5.7,5.5,17.5,44.8
,21세 - 30세,"1,412",10.7,3.3,0.3,3.6,1,9.3,57.8
,31세 - 40세,"1,518",4.5,1,0.2,3.6,0.2,7.2,63.1
,41세 - 50세,"1,250",2.6,1.4,0.2,2.7,0.4,6,65.7
,51세 - 60세,"1,371",2,0.7,0.5,1.5,0.4,5.6,68.2
,61세 이상,503,3.1,0.1,0,1.5,0.2,4.9,67.9
방문목적,휴가 및 순수여행,"5,571",4.6,1.2,0.2,2.6,0.5,6.8,64.5
,비즈니스여행,405,10,5.2,0.6,3.5,0.7,8.9,58.6
,기타여행,204,15.9,1.8,1.1,6.6,1.9,12,49.5
여행형태,개별여행,"5,884",5.4,1.5,0.3,2.8,0.6,7.1,63.4
,패키지여행,248,2,0.5,0.1,1.5,0.5,5.6,70.3
,부분패키지여행,49,7.7,0,0,7.4,0,12.6,49.7
방문횟수,1회,"1,934",5.7,1.2,0.2,2.4,0.6,7.2,62.9
,2회,"2,483",4.2,1.2,0.3,1.9,0.4,6.1,67.3
,3회,813,5.9,1.1,0.2,3.4,0.3,6.9,61.8
,4회 이상,951,7,3.1,0.5,5.7,1.2,9.6,56.8
