<표 18 -9> 제주여행 평가 _ 관광정보시스템,,,,,,,
(단위 : % ),,,,,,,
,,,,,,,
;[243],,,,,,,
　,,응답자수,매우 불만족,불만족,보통,만족,매우 만족
[전체],,562,1,4.1,26.5,39.6,28.8
거주국,일본,154,0.3,8.4,45,34.6,11.6
,중국,2,0,0,56,0,44
,아시아 기타,120,0.4,1.1,9.7,63.7,25
,서구권,286,1.6,3,23.2,32.5,39.6
성별,남자,252,0.4,5.1,20.8,42.8,30.9
,여자,310,1.5,3.2,31.1,37,27.2
연령,15-20세,10,0,14.5,22.7,27.7,35.2
,21-30세,62,0,5.9,14.4,56.6,23.1
,31-40세,88,0,1.3,10.6,55.9,32.1
,41-50세,56,0,3.5,32.6,29.1,34.8
,51-60세,133,1.1,2.1,26.4,34.8,35.6
,61세 이상,214,1.9,5.5,35.1,34.3,23.1
방문횟수,1회,499,1,3.8,27.3,38.6,29.3
,2회,50,1,3.7,15.7,52.6,27
,3회,9,0,13.9,40.7,24.4,21.1
,4회 이상,4,0,13.4,28.1,44.7,13.9
