<표 19> 여행시 불만족 점(복수응답),,,,,,,
(단위 : % ),,,,,,,
,,,,,,,
;[248],,,,,,,
　,,응답자수,여행정보를 얻기 어렵다,관광정보가 정확하지 않다,관광종사원이 불친절하다,안내표지판이 부정확하다,식당과 음식이 불결하다
[전체],,611,6.7,4.6,2.3,3.6,3.5
거주국,일본,164,8.4,5.8,1.5,5,3.8
,중국,4,0,0,0,31.5,0
,아시아 기타,120,2.6,3,1.9,1.9,5.5
,서구권,322,7.4,4.7,2.9,3.3,2.7
성별,남자,282,6,3,1.5,3.7,3.6
,여자,329,7.2,6,3,3.6,3.4
연령,15-20세,10,10,32.1,0,14.5,10
,21-30세,65,8.5,4.9,2.8,3.9,1.8
,31-40세,92,1.8,1.8,0,0,0.5
,41-50세,59,6.4,4.2,3.3,0.9,3.9
,51-60세,146,8.7,4,0.3,4.8,6.5
,61세 이상,239,6.8,4.9,4.1,4.5,3
방문횟수,1회,546,7.2,4.6,1.7,3.2,3.5
,2회,51,1,6.4,6.1,1,0
,3회,10,6.9,0,13.2,38.8,26.7
,4회 이상,4,13.7,0,13.4,13.4,0
