












;[1]
"　",,"응답자수","비율"
"[전체]",,"6,181","100.0"
"거주지","서울특별시","1,467","23.7"
,"부산광역시","724","11.7"
,"대구광역시","538","8.7"
,"인천광역시","375","6.1"
,"광주광역시","215","3.5"
,"대전광역시","185","3.0"
,"울산광역시","187","3.0"
,"세종자치시","34","0.5"
,"경기도","1,284","20.8"
,"강원도","99","1.6"
,"충청도","262","4.2"
,"전라도","385","6.2"
,"경상도","416","6.7"
,"기타 지역","11","0.2"
"성별","남자","2,600","42.1"
,"여자","3,581","57.9"
"연령","15세 - 20세","127","2.1"
,"21세 - 30세","1,412","22.9"
,"31세 - 40세","1,518","24.6"
,"41세 - 50세","1,250","20.2"
,"51세 - 60세","1,371","22.2"
,"61세 이상","503","8.1"
"방문목적","휴가 및 순수여행","5,571","90.1"
,"비즈니스여행","405","6.6"
,"기타여행","204","3.3"
"여행형태","개별여행","5,884","95.2"
,"패키지여행","248","4.0"
,"부분패키지여행","49","0.8"
"방문횟수","1회","1,934","31.3"
,"2회","2,483","40.2"
,"3회","813","13.2"
,"4회 이상","951","15.4"
;




;[2]
"　",,"응답자수","1일","2일","3일","4일","5일","6일"
"[전체]",,"6,181","0.7 ","6.5 ","52.2 ","29.0 ","5.9 ","1.4 "
"거주지","서울시","1,467","1.5 ","7.7 ","48.7 ","28.9 ","6.4 ","1.6 "
,"부산시","724","0.2 ","6.8 ","55.7 ","28.5 ","3.9 ","0.4 "
,"대구시","538","0.9 ","5.5 ","54.0 ","29.3 ","6.0 ","0.7 "
,"인천시","375","0.0 ","7.2 ","53.6 ","28.4 ","5.1 ","1.7 "
,"광주시","215","0.7 ","10.0 ","51.9 ","24.4 ","7.0 ","3.0 "
,"대전시","185","0.6 ","2.0 ","59.2 ","24.2 ","8.4 ","2.2 "
,"울산시","187","0.0 ","7.3 ","55.0 ","29.5 ","5.6 ","0.2 "
,"세종시","34","0.0 ","0.4 ","57.6 ","39.2 ","0.0 ","0.5 "
,"경기도","1,284","0.6 ","3.9 ","54.6 ","30.0 ","5.9 ","1.4 "
,"강원도","99","0.0 ","7.1 ","47.3 ","31.4 ","8.3 ","2.4 "
,"충청도","262","0.0 ","5.3 ","46.7 ","32.5 ","6.3 ","2.8 "
,"전라도","385","0.2 ","8.3 ","48.5 ","30.9 ","5.9 ","1.4 "
,"경상도","416","0.7 ","9.7 ","52.0 ","27.3 ","5.6 ","1.2 "
,"기타 지역","11","0.0 ","10.1 ","33.6 ","11.9 ","11.4 ","0.0 "
"성별","남자","2,600","1.3 ","9.3 ","49.7 ","27.8 ","6.0 ","1.4 "
,"여자","3,581","0.3 ","4.5 ","54.1 ","29.9 ","5.8 ","1.4 "
"연령","15세 - 20세","127","0.0 ","4.7 ","31.4 ","45.9 ","11.2 ","1.9 "
,"21세 - 30세","1,412","0.1 ","4.9 ","56.0 ","27.0 ","6.4 ","1.7 "
,"31세 - 40세","1,518","0.8 ","5.7 ","49.6 ","32.0 ","5.6 ","1.6 "
,"41세 - 50세","1,250","1.0 ","7.3 ","50.0 ","28.9 ","7.7 ","1.2 "
,"51세 - 60세","1,371","0.8 ","9.1 ","54.1 ","26.7 ","3.8 ","1.0 "
,"61세 이상","503","1.0 ","4.8 ","55.3 ","28.5 ","4.7 ","0.8 "
"방문목적","휴가 및 순수여행","5,571","0.1 ","4.9 ","54.4 ","30.6 ","5.4 ","1.3 "
,"비즈니스여행","405","7.3 ","25.0 ","31.2 ","14.2 ","6.9 ","2.3 "
,"기타여행","204","2.5 ","13.4 ","34.5 ","15.9 ","15.7 ","2.4 "
"여행형태","개별여행","5,884","0.7 ","6.2 ","52.0 ","29.2 ","6.1 ","1.4 "
,"패키지여행","248","0.0 ","13.9 ","59.0 ","24.3 ","0.5 ","0.0 "
,"부분패키지여행","49","0.0 ","10.0 ","47.3 ","35.0 ","2.5 ","2.5 "
"방문횟수","1회","1,934","0.1 ","5.2 ","52.3 ","33.6 ","5.3 ","1.1 "
,"2회","2,483","0.2 ","4.0 ","57.8 ","29.4 ","4.6 ","1.2 "
,"3회","813","0.8 ","9.3 ","49.6 ","26.5 ","6.2 ","1.7 "
,"4회 이상","951","3.1 ","13.3 ","39.8 ","21.0 ","10.0 ","2.2 "
;


;[3]
"　",,"응답자수","7일","8일","9일","10일","11일 이상","[평균]"
"[전체]",,"6,181","1.7 ","0.2 ","0.1 ","0.6 ","1.6 ","3.9 "
"거주지","서울시","1,467","2.1 ","0.1 ","0.2 ","0.4 ","2.4 ","4.0 "
,"부산시","724","1.9 ","0.3 ","0.0 ","0.7 ","1.6 ","3.8 "
,"대구시","538","1.3 ","0.0 ","0.5 ","0.7 ","1.1 ","3.6 "
,"인천시","375","2.2 ","0.0 ","0.0 ","1.2 ","0.7 ","3.9 "
,"광주시","215","0.4 ","0.6 ","0.0 ","0.5 ","1.5 ","3.7 "
,"대전시","185","2.7 ","0.0 ","0.0 ","0.8 ","0.0 ","3.6 "
,"울산시","187","1.5 ","0.0 ","0.0 ","0.1 ","0.8 ","3.6 "
,"세종시","34","0.6 ","0.6 ","0.0 ","0.0 ","1.1 ","3.7 "
,"경기도","1,284","1.3 ","0.2 ","0.1 ","0.5 ","1.4 ","4.0 "
,"강원도","99","1.5 ","0.0 ","0.0 ","0.3 ","1.6 ","3.9 "
,"충청도","262","2.9 ","2.3 ","0.0 ","0.0 ","1.2 ","4.0 "
,"전라도","385","1.9 ","0.3 ","0.0 ","0.2 ","2.3 ","4.2 "
,"경상도","416","1.0 ","0.0 ","0.0 ","0.7 ","1.8 ","4.5 "
,"기타 지역","11","0.0 ","0.0 ","0.0 ","11.4 ","21.6 ","9.6 "
"성별","남자","2,600","2.0 ","0.2 ","0.1 ","0.6 ","1.8 ","3.9 "
,"여자","3,581","1.6 ","0.3 ","0.1 ","0.5 ","1.5 ","4.0 "
"연령","15세 - 20세","127","1.1 ","0.7 ","0.0 ","0.1 ","2.9 ","4.3 "
,"21세 - 30세","1,412","1.7 ","0.4 ","0.1 ","0.2 ","1.6 ","4.0 "
,"31세 - 40세","1,518","1.7 ","0.2 ","0.1 ","0.7 ","1.9 ","4.0 "
,"41세 - 50세","1,250","1.9 ","0.0 ","0.0 ","0.4 ","1.4 ","3.8 "
,"51세 - 60세","1,371","1.7 ","0.3 ","0.2 ","0.6 ","1.5 ","3.9 "
,"61세 이상","503","1.7 ","0.3 ","0.0 ","1.5 ","1.5 ","4.1 "
"방문목적","휴가 및 순수여행","5,571","1.4 ","0.2 ","0.1 ","0.4 ","1.0 ","3.7 "
,"비즈니스여행","405","4.9 ","0.0 ","0.1 ","1.6 ","6.6 ","5.4 "
,"기타여행","204","4.5 ","1.0 ","0.6 ","1.3 ","8.2 ","7.1 "
"여행형태","개별여행","5,884","1.8 ","0.3 ","0.1 ","0.6 ","1.6 ","4.0 "
,"패키지여행","248","0.0 ","0.0 ","0.0 ","0.1 ","2.2 ","3.4 "
,"부분패키지여행","49","2.6 ","0.0 ","0.0 ","0.0 ","0.0 ","3.5 "
"방문횟수","1회","1,934","1.2 ","0.3 ","0.0 ","0.3 ","0.6 ","3.7 "
,"2회","2,483","1.2 ","0.2 ","0.1 ","0.3 ","1.0 ","3.7 "
,"3회","813","2.7 ","0.3 ","0.0 ","1.1 ","1.8 ","4.0 "
,"4회 이상","951","3.4 ","0.0 ","0.4 ","1.4 ","5.3 ","5.2 "
;



;[4]
"　",,"응답자수","1회","2회","3회","4회 이상","[평균]"
"[전체]",,"6,181","31.3","40.2","13.2","15.4","2.88"
"거주지","서울시","1,467","30.3","37.0","13.8","18.9","3.00"
,"부산시","724","27.3","45.9","11.4","15.4","2.84"
,"대구시","538","30.2","46.3","10.1","13.4","2.89"
,"인천시","375","28.3","41.7","13.4","16.5","2.64"
,"광주시","215","33.7","33.2","11.0","22.1","4.64"
,"대전시","185","36.1","36.1","16.2","11.6","2.27"
,"울산시","187","27.7","42.6","18.0","11.6","2.43"
,"세종시","34","32.0","44.6","11.7","11.7","2.14"
,"경기도","1,284","31.1","43.8","12.0","13.1","2.79"
,"강원도","99","41.6","33.1","11.3","14.0","2.64"
,"충청도","262","38.7","31.5","12.2","17.6","2.82"
,"전라도","385","34.0","36.5","17.3","12.2","2.94"
,"경상도","416","34.4","36.3","16.2","13.1","2.65"
,"기타 지역","11","56.9","0.0","10.1","33.0","3.28"
"성별","남자","2,600","31.6","35.0","14.6","18.8","3.48"
,"여자","3,581","31.0","43.9","12.1","12.9","2.44"
"연령","15세 - 20세","127","48.7","32.8","9.0","9.5","2.09"
,"21세 - 30세","1,412","37.6","41.1","10.0","11.3","2.27"
,"31세 - 40세","1,518","27.5","42.9","14.4","15.3","2.76"
,"41세 - 50세","1,250","27.8","41.0","13.2","17.9","3.32"
,"51세 - 60세","1,371","28.9","37.9","15.4","17.9","3.31"
,"61세 이상","503","36.1","35.0","13.1","15.8","2.92"
"방문목적","휴가 및 순수여행","5,571","32.9","41.8","13.1","12.2","2.38"
,"비즈니스여행","405","12.5","23.6","15.8","48.1","8.90"
,"기타여행","204","25.3","27.8","9.7","37.2","4.53"
"여행형태","개별여행","5,884","31.1","40.3","13.1","15.4","2.90"
,"패키지여행","248","33.1","38.8","13.8","14.2","2.63"
,"부분패키지여행","49","39.4","33.0","12.5","15.1","2.36"
;



;[5]
"　",,"응답자수","여가, 위락, 휴식","신혼여행","직장 인센티브 여행","사업 또는 산업시찰 활동","학술 및 세미나 활동"
"[전체]",,"6,181","89.8 ","0.3 ","0.4 ","4.2 ","1.9 "
"거주지","서울시","1,467","87.3 ","0.5 ","0.6 ","5.5 ","2.7 "
,"부산시","724","91.8 ","0.0 ","0.2 ","3.3 ","1.5 "
,"대구시","538","92.1 ","0.5 ","0.4 ","3.7 ","1.6 "
,"인천시","375","93.5 ","0.0 ","0.6 ","2.0 ","2.7 "
,"광주시","215","87.3 ","0.0 ","0.6 ","6.8 ","2.3 "
,"대전시","185","85.5 ","0.0 ","0.7 ","5.8 ","6.1 "
,"울산시","187","91.1 ","0.0 ","0.0 ","1.9 ","0.7 "
,"세종시","34","91.6 ","0.0 ","0.0 ","4.6 ","3.7 "
,"경기도","1,284","90.1 ","0.6 ","0.4 ","3.7 ","1.0 "
,"강원도","99","85.2 ","0.0 ","1.1 ","2.6 ","4.8 "
,"충청도","262","86.8 ","0.5 ","0.1 ","7.3 ","1.5 "
,"전라도","385","93.8 ","0.0 ","0.3 ","3.8 ","0.4 "
,"경상도","416","90.3 ","0.3 ","0.3 ","3.2 ","2.4 "
,"기타 지역","11","67.0 ","0.0 ","0.0 ","0.0 ","0.0 "
"성별","남자","2,600","84.7 ","0.6 ","0.7 ","7.7 ","2.9 "
,"여자","3,581","93.5 ","0.2 ","0.2 ","1.7 ","1.3 "
"연령","15세 - 20세","127","88.8 ","1.0 ","0.0 ","1.0 ","2.2 "
,"21세 - 30세","1,412","91.7 ","0.5 ","0.7 ","1.3 ","2.2 "
,"31세 - 40세","1,518","88.8 ","0.8 ","0.5 ","4.4 ","2.5 "
,"41세 - 50세","1,250","88.0 ","0.0 ","0.4 ","6.4 ","2.2 "
,"51세 - 60세","1,371","90.1 ","0.0 ","0.2 ","5.6 ","1.4 "
,"61세 이상","503","91.4 ","0.0 ","0.3 ","3.1 ","0.5 "
"방문목적","휴가 및 순수여행","5,571","99.6 ","0.4 ","0.0 ","0.0 ","0.0 "
,"비즈니스여행","405","0.0 ","0.0 ","6.4 ","64.0 ","29.7 "
,"기타여행","204","0.0 ","0.0 ","0.0 ","0.0 ","0.0 "
"여행형태","개별여행","5,884","90.3 ","0.3 ","0.3 ","4.1 ","1.7 "
,"패키지여행","248","79.0 ","1.0 ","2.5 ","6.6 ","8.1 "
,"부분패키지여행","49","89.7 ","0.0 ","0.0 ","5.2 ","2.5 "
"방문횟수","1회","1,934","94.2 ","0.5 ","0.4 ","1.3 ","0.9 "
,"2회","2,483","93.5 ","0.3 ","0.2 ","2.2 ","1.5 "
,"3회","813","89.4 ","0.3 ","0.4 ","3.5 ","4.0 "
,"4회 이상","951","71.3 ","0.2 ","1.2 ","15.8 ","3.5 "
;



;[6]
"　",,"응답자수","뷰티, 의료 관광","종교 및 순례","친구/ 친지 방문","쇼핑","기타"
"[전체]",,"6,181","0.1 ","0.5 ","1.8 ","0.0 ","0.9 "
"거주지","서울시","1,467","0.1 ","0.5 ","1.7 ","0.2 ","1.0 "
,"부산시","724","0.0 ","0.4 ","1.8 ","0.0 ","1.0 "
,"대구시","538","0.0 ","0.2 ","1.1 ","0.0 ","0.4 "
,"인천시","375","0.0 ","0.1 ","1.0 ","0.0 ","0.0 "
,"광주시","215","0.0 ","0.6 ","2.4 ","0.0 ","0.0 "
,"대전시","185","0.0 ","0.0 ","0.6 ","0.0 ","1.3 "
,"울산시","187","0.0 ","2.0 ","2.4 ","0.0 ","1.9 "
,"세종시","34","0.0 ","0.0 ","0.0 ","0.0 ","0.0 "
,"경기도","1,284","0.3 ","0.6 ","2.7 ","0.0 ","0.6 "
,"강원도","99","0.0 ","1.3 ","2.5 ","0.0 ","2.6 "
,"충청도","262","0.0 ","0.0 ","1.9 ","0.0 ","1.9 "
,"전라도","385","0.1 ","0.3 ","1.0 ","0.0 ","0.4 "
,"경상도","416","0.3 ","0.3 ","0.9 ","0.0 ","2.1 "
,"기타 지역","11","0.0 ","0.0 ","33.0 ","0.0 ","0.0 "
"성별","남자","2,600","0.1 ","0.4 ","1.7 ","0.0 ","1.3 "
,"여자","3,581","0.1 ","0.5 ","1.9 ","0.1 ","0.6 "
"연령","15세 - 20세","127","0.0 ","0.0 ","1.7 ","0.0 ","5.3 "
,"21세 - 30세","1,412","0.2 ","0.2 ","2.3 ","0.0 ","1.0 "
,"31세 - 40세","1,518","0.0 ","0.2 ","2.3 ","0.0 ","0.5 "
,"41세 - 50세","1,250","0.0 ","0.5 ","1.6 ","0.1 ","0.7 "
,"51세 - 60세","1,371","0.3 ","0.6 ","1.0 ","0.1 ","0.7 "
,"61세 이상","503","0.0 ","1.5 ","1.7 ","0.0 ","1.5 "
"방문목적","휴가 및 순수여행","5,571","0.0 ","0.0 ","0.0 ","0.0 ","0.0 "
,"비즈니스여행","405","0.0 ","0.0 ","0.0 ","0.0 ","0.0 "
,"기타여행","204","3.0 ","13.7 ","55.1 ","1.1 ","27.1 "
"여행형태","개별여행","5,884","0.1 ","0.4 ","1.9 ","0.0 ","0.9 "
,"패키지여행","248","0.5 ","2.1 ","0.0 ","0.0 ","0.2 "
,"부분패키지여행","49","0.0 ","0.0 ","2.6 ","0.0 ","0.0 "
"방문횟수","1회","1,934","0.1 ","0.6 ","1.0 ","0.1 ","1.0 "
,"2회","2,483","0.0 ","0.4 ","1.1 ","0.0 ","0.8 "
,"3회","813","0.2 ","0.6 ","1.4 ","0.0 ","0.3 "
,"4회 이상","951","0.4 ","0.1 ","5.8 ","0.1 ","1.5 "
;


;[7]
"　",,"응답자수","여가, 위락, 휴식","신혼여행","직장 인센티브 여행","사업 또는 산업시찰 활동","학술 및 세미나 활동"
"[전체]",,"1,227","33.9 ","3.2 ","3.6 ","6.0 ","3.5 "
"거주지","서울시","344","34.0 ","3.4 ","2.9 ","9.0 ","3.9 "
,"부산시","109","39.9 ","2.1 ","8.1 ","2.4 ","1.2 "
,"대구시","80","39.3 ","5.7 ","1.6 ","1.5 ","3.4 "
,"인천시","67","25.4 ","1.6 ","7.7 ","9.1 ","2.1 "
,"광주시","50","38.1 ","2.5 ","2.5 ","5.3 ","5.1 "
,"대전시","44","37.9 ","3.2 ","2.5 ","9.7 ","8.2 "
,"울산시","36","35.3 ","3.6 ","10.3 ","6.5 ","0.0 "
,"세종시","4","10.0 ","0.0 ","0.0 ","0.0 ","0.0 "
,"경기도","252","33.2 ","3.6 ","2.4 ","4.1 ","2.9 "
,"강원도","28","35.2 ","7.9 ","0.0 ","5.6 ","0.0 "
,"충청도","59","41.5 ","5.9 ","2.4 ","6.1 ","4.2 "
,"전라도","61","23.4 ","1.0 ","6.5 ","6.3 ","4.5 "
,"경상도","87","27.8 ","0.2 ","1.7 ","4.3 ","7.0 "
,"기타 지역","6","40.9 ","0.0 ","0.0 ","0.0 ","0.0 "
"성별","남자","666","38.5 ","2.6 ","4.6 ","8.3 ","4.2 "
,"여자","562","28.5 ","3.9 ","2.4 ","3.2 ","2.8 "
"연령","15세 - 20세","67","14.8 ","1.8 ","0.0 ","3.7 ","1.9 "
,"21세 - 30세","373","19.7 ","3.2 ","3.6 ","3.4 ","2.9 "
,"31세 - 40세","306","38.7 ","3.1 ","3.8 ","7.9 ","4.5 "
,"41세 - 50세","225","45.8 ","2.8 ","4.0 ","8.0 ","3.0 "
,"51세 - 60세","192","45.4 ","3.6 ","4.0 ","6.3 ","4.4 "
,"61세 이상","65","38.5 ","5.3 ","4.4 ","6.1 ","3.7 "
"방문목적","휴가 및 순수여행","780","2.0 ","5.0 ","4.8 ","7.8 ","4.8 "
,"비즈니스여행","284","90.4 ","0.0 ","1.8 ","2.6 ","2.2 "
,"기타여행","164","88.2 ","0.0 ","0.9 ","3.3 ","0.0 "
"여행형태","개별여행","1,149","33.1 ","3.3 ","3.1 ","5.7 ","3.3 "
,"패키지여행","62","53.0 ","2.0 ","12.4 ","10.4 ","8.1 "
,"부분패키지여행","16","23.7 ","0.0 ","7.8 ","6.9 ","0.0 "
"방문횟수","1회","312","22.9 ","2.3 ","4.1 ","3.8 ","2.0 "
,"2회","360","33.3 ","5.3 ","3.8 ","3.1 ","3.2 "
,"3회","201","29.6 ","3.2 ","5.1 ","8.5 ","6.1 "
,"4회 이상","355","46.8 ","1.8 ","2.2 ","9.4 ","3.9 "
;



;[8]
"　",,"응답자수","뷰티, 의료 관광","종교 및 순례","친구/ 친지 방문","쇼핑","기타"
"[전체]",,"1,227","3.3 ","0.8 ","15.9 ","19.3 ","10.4 "
"거주지","서울시","344","2.7 ","1.5 ","18.5 ","15.3 ","8.8 "
,"부산시","109","5.3 ","0.0 ","13.2 ","14.6 ","13.3 "
,"대구시","80","0.0 ","0.0 ","10.5 ","26.1 ","12.0 "
,"인천시","67","4.0 ","2.2 ","7.7 ","22.1 ","18.1 "
,"광주시","50","0.0 ","0.0 ","19.7 ","9.7 ","17.2 "
,"대전시","44","2.5 ","0.0 ","14.0 ","13.8 ","8.3 "
,"울산시","36","0.5 ","0.0 ","13.5 ","26.7 ","3.5 "
,"세종시","4","0.0 ","0.0 ","27.6 ","0.0 ","62.5 "
,"경기도","252","4.0 ","0.5 ","18.0 ","20.7 ","10.6 "
,"강원도","28","4.5 ","4.0 ","13.0 ","25.5 ","4.3 "
,"충청도","59","2.1 ","0.0 ","11.5 ","20.2 ","6.1 "
,"전라도","61","5.7 ","0.5 ","20.5 ","23.8 ","7.8 "
,"경상도","87","4.7 ","1.3 ","15.8 ","26.7 ","10.5 "
,"기타 지역","6","20.5 ","0.0 ","0.0 ","38.6 ","0.0 "
"성별","남자","666","3.0 ","0.5 ","14.0 ","14.8 ","9.4 "
,"여자","562","3.6 ","1.2 ","18.3 ","24.5 ","11.6 "
