　,,응답자수,여행 정보를 얻기 어렵다,관광 정보가 정확하지 않다,관광 종사원이 불친절 하다,안내 표지판이 부정확 하다,식당과 음식이 불결하다,음식이 입에 맞지 않는다,물가가 비싸다
[전체],,"6,181",2.1,2.2,3.1,1.8,1.6,1.4,22.9
거주지,서울시,"1,467",1.8,2.2,2.8,2.1,2.1,1.3,23.9
,부산시,724,1,2.1,2.8,1.5,1.5,1.2,21.5
,대구시,538,1.4,2.2,4.5,2.3,1.6,1.6,20.9
,인천시,375,1.9,2.7,3.6,0.7,2.3,1.3,24.3
,광주시,215,3.5,1.1,2.9,0.6,1.7,0.2,16.1
,대전시,185,1.4,1.5,2.5,1.4,1.4,0.7,29.7
,울산시,187,4,2.1,1.9,1.3,1.3,2,24.1
,세종시,34,3.7,4.2,0,3.7,0,0,18.3
,경기도,"1,284",2.9,2.7,2.7,2.2,0.7,1.1,20.9
,강원도,99,2.5,1.5,7.2,1.3,2.5,1.1,30.8
,충청도,262,3.3,2.4,3,2,2.7,3.9,29.9
,전라도,385,0.8,2.4,3.9,1.1,0.7,1.9,22.8
,경상도,416,2.4,1.5,2.8,2.1,2.6,1.9,23.1
,기타 지역,11,0,11.4,10.1,0,0,0,33
성별,남자,"2,600",2.6,2.1,2.8,2.3,1.7,1.7,25.1
,여자,"3,581",1.7,2.4,3.3,1.4,1.5,1.2,21.2
연령,15세 - 20세,127,6.7,8.5,3.6,3.6,1.9,3.7,19.1
,21세 - 30세,"1,412",2.4,2.9,2.6,1.8,1.4,0.4,22
,31세 - 40세,"1,518",2.1,2.1,3.5,1.8,1.3,1.7,25.3
,41세 - 50세,"1,250",1.6,2.6,2.2,1.2,1.8,1.7,23.1
,51세 - 60세,"1,371",2.1,1,3.8,2.2,2.2,1.9,21.8
,61세 이상,503,1.2,1.8,3.2,1.7,1.3,0.5,21.6
방문목적,휴가 및 순수여행,"5,571",2,2.1,3.1,1.7,1.5,1.1,22.9
,비즈니스여행,405,2,3,3.6,2.5,2.2,3.7,22.2
,기타여행,204,4.3,5.3,3,2.6,5,5.9,23.9
여행형태,개별여행,"5,884",2.1,2.3,3.2,1.8,1.6,1.4,23
,패키지여행,248,1,0.5,2,1,2,1,18.9
,부분패키지여행,49,2.5,2.3,0,2.3,4.8,2.3,32.6
방문횟수,1회,"1,934",2.2,2.3,2.4,1.9,1.2,1.4,23.5
,2회,"2,483",1.4,1.7,2.5,1.2,1.1,0.9,21.2
,3회,813,3.3,3.5,5.2,3.4,2.9,2,24.4
,4회 이상,951,2.5,2.5,4.2,1.9,2.8,2.4,24.8
