　,,응답자수,음식이 입에 맞지 않는다,물가가 비싸다,대중교통 이용이 불편하다,택시기사 서비스가 불편하다,관광가이드의 서비스가  좋지 않다
[전체],,"3,916",9.2,18.2,13.8,4.3,1.5
거주지,일본권,304,8.4,9.9,17.9,10.2,2
,중국권,"2,249",11,20,12.3,3.6,1.6
,중화권,261,7.6,25.7,28.7,4.2,0
,동남아권,620,5.1,22.6,12.6,2,2
,북미권,83,20,2.8,10.6,3.6,0
,기타,399,4.8,5.8,11.7,7,1.4
성별,남자,"1,061",10.1,17.4,15.1,6.1,1.7
,여자,"2,855",8.9,18.5,13.3,3.6,1.5
연령,15세 - 20세,153,6.1,14.3,19,9.3,1.5
,21세 - 30세,"2,152",9.2,19.9,14.2,4,1.3
,31세 - 40세,"1,101",10.5,16.6,13.4,3.9,1.5
,41세 - 50세,293,4,18.5,11.8,3.7,2
,51세 - 60세,154,15,13.5,4.6,2.5,3.3
,61세 이상,63,3.2,7.1,23.9,12.8,2.5
방문목적,휴가 및 순수여행,"3,419",8.5,17.9,14.1,4.1,1.4
,비즈니스여행,136,9.9,12.7,13.8,5.7,0.9
,기타,360,15.4,22.8,10.5,5.5,2.9
여행형태,개별여행,"3,399",9,18.8,14.7,4.6,1.3
,완전 패키지여행,423,12.3,13.6,7.9,1.8,3.2
,부분 패키지여행,93,2.4,15.4,8.1,3.6,2.2
방문횟수,1회,"2,629",8.2,17.6,15.8,4.6,1.4
,2회,527,7.7,16.1,13.3,3.8,2.1
,3회,277,11.7,20.2,6.8,3.3,0.8
,4회 이상,483,15.1,22.4,7.4,3.5,1.8
