,외국인,,,,,,,,,,,
1992년,242576,,,,,,,,,,,
1993년,277359,,,,,,,,,,,
1994년,222442,,,,,,,,,,,
1995년,241884,,,,,,,,,,,
1996년,209253,,,,,,,,,,,
1997년,184403,,,,,,,,,,,
1998년,223701,,,,,,,,,,,
1999년,246965,,,,,,,,,,,
2000년,288425,,,,,,,,,,,
2001년,290050,,,,,,,,,,,
2002년,289496,,,,,,,,,,,
2003년,221017,,,,,,,,,,,
2004년,329215,,,,,,,,,,,
2005년,378723,,,,,,,,,,,
2006년,460360,,,,,,,,,,,
2007년,541274,,,,,,,,,,,
2008년,540516,,,,,,,,,,,
2009년,632354,,,,,,,,,,,
2010년,777000,,,,,,,,,,,
2011년,1045637,,,,,,,,,,,
2012년,1681399,,,,,,,,,,,
2013년,2333848,,,,,,,,,,,
2014년,3328316,,,,,,,,,,,
2015년,2624260,,,,,,,,,,,
2016년,3603021,,,,,,,,,,,
2017년,1230604,,,,,,,,,,,
2018년,1244832,,,,,,,,,,,
