"업종명","업소명","소재지(도로명)","소재지(지번)","영업장면적","소재지전화","업태명","데이터기준일자"
"일반음식점","만나식당","제주특별자치도 제주시 한림읍 한림중앙로 6-1","제주특별자치도 제주시 한림읍 한림리 1211번지  ","34","064-796-2077","한식","2018-05-02"
"일반음식점","칠공팔공돼지국밥","제주특별자치도 제주시 구좌읍 구좌로 37","제주특별자치도 제주시 구좌읍 세화리 1452번지 17호  ","30","064-783-5122","한식","2018-05-02"
"일반음식점","난피자넌치킨","제주특별자치도 제주시 구좌읍 세화4길 14","제주특별자치도 제주시 구좌읍 세화리 1543번지  ","0","064-783-2819","한식","2018-05-02"
"일반음식점","부두식당","제주특별자치도 제주시 애월읍 애월로13길 21. 1층","제주특별자치도 제주시 애월읍 애월리 1736번지 2호  ","62.81","064-799-0029","한식","2018-05-02"
"일반음식점","항구식당",,"제주특별자치도 제주시 한림읍 한림리 1328번지  ","98","064-796-1145","한식","2018-05-02"
"일반음식점","숙경식당","제주특별자치도 제주시 구좌읍 구좌로 33-7","제주특별자치도 제주시 구좌읍 세화리 1521번지 1호  ","148.33","064-783-4991","한식","2018-05-02"
"일반음식점","동진",,"제주특별자치도 제주시 일도일동 1146번지  ","13.2","064-757-0427","한식","2018-05-02"
"일반음식점","제주하니관광호텔구내","제주특별자치도 제주시 삼성로 10 (이도일동)","제주특별자치도 제주시 이도일동 1315번지  ","134","064-758-4200","한식","2018-05-02"
"일반음식점","호반식당",,"제주특별자치도 제주시 삼도이동 149번지  ","29",,"한식","2018-05-02"
"일반음식점","비원","제주특별자치도 제주시 수목원길 3-1 (노형동)","제주특별자치도 제주시 노형동 100번지 (1층)","399.35","064-744-1919","탕류(보신용)","2018-05-02"
"일반음식점","안성","제주특별자치도 제주시 동문로4길 17-4 (일도일동)","제주특별자치도 제주시 일도일동 1102번지 9호  ","24.94","064-757-0681","한식","2018-05-02"
"일반음식점","오륙도","제주특별자치도 제주시 관덕로15길 10 (일도일동)","제주특별자치도 제주시 일도일동 1325번지 1호  ","48.75","064-758-7440","식육(숯불구이)","2018-05-02"
"일반음식점","동원",,"제주특별자치도 제주시 일도일동 1146번지  ","15.51","064-757-6284","한식","2018-05-02"
"일반음식점","영미","제주특별자치도 제주시 서문로4길 13-2. 132호 (용담일동)","제주특별자치도 제주시 용담일동 135번지 9호  132호","27","064-722-6211","한식","2018-05-02"
"일반음식점","학사","제주특별자치도 제주시 서문로4길 13-2. 137호 (용담일동)","제주특별자치도 제주시 용담일동 135번지 9호  137호","24.36","064-753-4488","한식","2018-05-02"
"일반음식점","장춘","제주특별자치도 제주시 동문로4길 9-6 (일도일동)","제주특별자치도 제주시 일도일동 1103번지 5호  ","52.2","064-757-2548","한식","2018-05-02"
"일반음식점","동화반점","제주특별자치도 제주시 설촌로2길 5 (삼양이동)","제주특별자치도 제주시 삼양이동 2128번지 8호  ","112.76","064-755-0594","중국식","2018-05-02"
"일반음식점","가자우리집","제주특별자치도 제주시 임항로 55-4 (건입동)","제주특별자치도 제주시 건입동 984번지 15호  ","19.25","064-722-0642","한식","2018-05-02"
"일반음식점","박사초밥","제주특별자치도 제주시 오현길 2 (이도일동)","제주특별자치도 제주시 이도일동 1271번지 11호  ","25","064-723-9334","일식","2018-05-02"
