2019년 10월 관광객입도현황,,,,,,,,,
□ 형태별,,,,,,,,(단위 : 명),
구                  분,,,,,, 2019년 ,2018년,증감율(%),
총                  계,,,,,월계," 1,422,312 "," 1,263,722 ",12.5 ,
,,,,,누계," 12,670,962 "," 12,069,474 ",5.0 ,
내국인,소              계,,,,월계," 1,254,419 "," 1,128,247 ",11.2 ,
,,,,,누계," 11,238,464 "," 11,076,518 ",1.5 ,
,개 별 여 행,,,,월계," 1,044,280 "," 868,257 ",20.3 ,
,,,,,누계," 9,079,939 "," 8,674,179 ",4.7 ,
,부분패키지,,,,월계," 121,052 "," 123,683 ",-2.1 ,
,,,,,누계," 1,502,355 "," 1,562,979 ",-3.9 ,
,패  키  지,,,,월계," 89,087 "," 136,307 ",-34.6 ,
,,,,,누계," 656,170 "," 839,360 ",-21.8 ,
외       국       인,,,,,월계," 167,893 "," 135,475 ",23.9 ,
,,,,,누계," 1,432,498 "," 992,956 ",44.3 ,
,,,,,,,,,
□ 목적별,,,,,,,,(단위 : 명),
구                  분,,,,,, 2019년 ,2018년,증감율(%),
총                  계,,,,,월계," 1,422,312 "," 1,263,722 ",12.5 ,
,,,,,누계," 12,670,962 "," 12,069,474 ",5.0 ,
내   국   인,소              계,,,,월계," 1,254,419 "," 1,128,247 ",11.2 ,
,,,,,누계," 11,238,464 "," 11,076,518 ",1.5 ,
,레 저 스 포 츠,,,,월계," 193,546 "," 136,051 ",42.3 ,
,,,,,누계," 1,346,132 "," 1,277,294 ",5.4 ,
,회 의 및 업 무,,,,월계," 118,238 "," 121,210 ",-2.5 ,
,,,,,누계," 659,212 "," 802,623 ",-17.9 ,
,휴 양 및 관 람,,,,월계," 729,136 "," 700,049 ",4.2 ,
,,,,,누계," 8,265,440 "," 8,039,504 ",2.8 ,
,친  지  방  문,,,,월계," 121,053 "," 84,105 ",43.9 ,
,,,,,누계," 607,542 "," 562,414 ",8.0 ,
,교  육  여  행,,,,월계," 60,936 "," 69,517 ",-12.3 ,
,,,,,누계," 250,194 "," 267,594 ",-6.5 ,
,기  타  방  문,,,,월계," 31,510 "," 17,315 ",82.0 ,
,,,,,누계," 109,944 "," 127,089 ",-13.5 ,
외    국    인,소              계,,,,월계," 167,893 "," 135,475 ",23.9 ,
,,,,,누계," 1,432,498 "," 992,956 ",44.3 ,
,아시아,일          본,,,월계," 7,425 "," 10,075 ",-26.3 ,
,,,,,누계," 78,603 "," 71,773 ",9.5 ,
,,중          국,,,월계," 108,798 "," 72,022 ",51.1 ,
,,,,,누계," 888,331 "," 543,531 ",63.4 ,
,,홍          콩,,,월계," 4,907 "," 4,916 ",-0.2 ,
,,,,,누계," 46,553 "," 41,559 ",12.0 ,
,,대          만,,,월계," 8,195 "," 5,589 ",46.6 ,
,,,,,누계," 76,104 "," 40,107 ",89.8 ,
,,싱    가    폴,,,월계," 2,140 "," 3,094 ",-30.8 ,
,,,,,누계," 22,526 "," 23,561 ",-4.4 ,
,,말 레 이 시 아,,,월계," 6,366 "," 6,413 ",-0.7 ,
,,,,,누계," 53,743 "," 55,371 ",-2.9 ,
,,인 도 네 시 아,,,월계," 1,473 "," 2,081 ",-29.2 ,
,,,,,누계," 18,340 "," 18,544 ",-1.1 ,
,,베    트    남,,,월계," 3,238 "," 2,952 ",9.7 ,
,,,,,누계," 24,425 "," 24,790 ",-1.5 ,
,,태          국,,,월계," 5,903 "," 5,840 ",1.1 ,
,,,,,누계," 44,938 "," 42,585 ",5.5 ,
,,기          타,,,월계," 4,431 "," 4,810 ",-7.9 ,
,,,,,누계," 44,879 "," 34,470 ",30.2 ,
,서구등,미          국,,,월계," 3,866 "," 4,624 ",-16.4 ,
,,,,,누계," 33,894 "," 24,913 ",36.0 ,
,,기          타,,,월계," 11,151 "," 13,059 ",-14.6 ,
,,,,,누계," 100,162 "," 71,752 ",39.6 ,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
