관광안내소명,안내소위치명,시도명,시군구명,안내소소개,부가서비스정보,휴무일,운영시작시각(하절기),운영종료시각(하절기),운영시작시각(동절기),운영종료시각(동절기),평균근무인원수,영어안내가능여부,일본어안내가능여부,중국어안내가능여부,안내가능외국어,안내소전화번호,소재지도로명주소,소재지지번주소,운영기관명,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
성안길관광안내소,성안길 KDB산업은행 앞,충청북도,청주시,성안길 일원 외국인 관광객 쇼핑 통역 지원,,명절,10:00,20:00,10:00,20:00,2, ,Y,Y,"""일본어, 중국어""",043-254-1230,충청북도 청주시 상당구 북문로 210-1,충청북도 청주시 상당구 북문로 210-1,관광과,,36.649649,127.493941,2018-08-13,5710000,충청북도 청주시
수암골관광안내소,수암골 마실 앞,충청북도,청주시,수암골 관광안내 및 통역 지원,,없음,10:00,18:00,10:00,18:00,2, ,Y,Y,"""일본어, 중국어""",043-253-1330,충청북도 청주시 상당구 수동로 53번길,충청북도 청주시 상당구 수동81-121,관광과,,36.649442,127.494113,2018-08-13,5710000,충청북도 청주시
신촌플레이버스,서울특별시 서대문구 연세로 5길 11,서울특별시,서대문구,서대문구 관광안내책자 및 지도 제공,,"""매주월요일, 설날, 추석""",11:00,21:00,11:00,21:00,2,Y,N,N,,070-4909-9131,서울특별시 서대문구 연세로 5길 11,서울특별시 서대문구 창천동 53-50,서울특별시 서대문구청,play.sdm.go.kr,37.556622,126.9350047,2018-08-20,3120000,서울특별시 서대문구
강원도 화천군 관광안내소(터미널),화천시외버스터미널,강원도,화천군,관광안내소,,"""설, 추석""",9:00,17:00,9:00,17:00,2,N,N,N,없음,033-440-2575,강원도 화천군 화천읍 상승로 38-5,강원도 화천군 화천읍 하리 43-53,강원도 화천군청,tour.ihc.go.kr,38.104511,127.704262,2018-08-10,4310000,강원도 화천군
영동군 관광안내소,영동역,충청북도,영동군,"""영동군 관광지 소개, 교통편 등 정보 제공 및 관광지 안내 등""",핸드폰 충전,연중무휴,9:00,18:00,9:00,18:00,2,N,N,N,N,043-745-7741,충청북도 영동군 영동읍 계산로 87,충청북도 영동군 영동읍 계산리 205-1,충청북도 영동군청,,36.172128,127.786562,2018-02-23,4440000,충청북도 영동군
축령산 치유의 숲 안내센터,축령산 치유의 숲 관리사무소,전라남도,장성군,"""축령산 산행안내, 숲 해설사 신청 등""",,연중무휴,9:00,18:00,9:00,18:00,7,Y,N,N,,061-393-1777,,전라남도 장성군 서삼면 모암리 689,산림청,http://tour.jangseong.go.kr/,35.376174,126.760709,2018-05-14,4980000,전라남도 장성군
내장산국립공원 백암사무소,백양사 입구,전라남도,장성군,"""백암산 산행안내, 숲 해설사 신청 등""",,연중무휴,9:00,18:00,9:00,18:00,10,Y,N,N,,061-392-7288,,전라남도 장성군 북하면 약수리 148-2,내장산국립공원 백암사무소,http://tour.jangseong.go.kr/,35.430963,126.879302,2018-05-14,4980000,전라남도 장성군
장성호관광지,장성호 관광지 관리사무소,전라남도,장성군,장성호 관광지 전반 안내,,연중무휴,9:00,18:00,9:00,18:00,2,N,N,N,,061-392-7248,전라남도 장성군 북하면 백양로 591-4,전라남도 장성군 북하면 쌍웅리 산38-1,전라남도 장성군청,http://tour.jangseong.go.kr/,35.415562,126.850562,2018-05-14,4980000,전라남도 장성군
홍길동테마파크 관광지,홍길동테마파크 관리사무소,전라남도,장성군,홍길동 테마파크 전반 안내,,연중무휴,9:00,18:00,9:00,18:00,2,N,N,N,,061-394-8580,전라남도 장성군 황룡면 홍길동로 431,전라남도 장성군 황룡면 아곡리 373,전라남도 장성군청,http://tour.jangseong.go.kr/,35.319264,126.726715,2018-05-14,4980000,전라남도 장성군
필암서원 유물전시관,필암서원 유물전시관,전라남도,장성군,"""필암서원, 필암서원 유물전시관 전반 안내""",,연중무휴,9:00,18:00,9:00,17:00,2,N,N,N,,061-393-8583,전라남도 장성군 황룡면 필암서원로 184,전라남도 장성군 황룡면 필암리 377,전라남도 장성군청,http://tour.jangseong.go.kr/,35.312376,126.751991,2018-05-14,4980000,전라남도 장성군
