시도,군구,관광지,구분,세부구분,내/외국인,총계,2017년,2018년,2019년,
제주특별자치도,제주시,도립미술관,유료,측정,내국인,"277,519","91,256","125,093","61,170",
제주특별자치도,제주시,도립미술관,유료,측정,외국인,"3,241","2,143","1,006",92,
제주특별자치도,제주시,도립미술관,유료,측정,합계,"280,760","93,399","126,099","61,262",
제주특별자치도,제주시,만장굴관광지,유료,측정,내국인,"1,712,188","777,643","678,984","255,561",
제주특별자치도,제주시,만장굴관광지,유료,측정,외국인,"168,518","55,226","78,488","34,804",
제주특별자치도,제주시,만장굴관광지,유료,측정,합계,"1,880,706","832,869","757,472","290,365",
제주특별자치도,제주시,민속자연사박물관,유료,측정,내국인,"888,069","316,802","408,872","162,395",
제주특별자치도,제주시,민속자연사박물관,유료,측정,외국인,"168,572","88,877","41,727","37,968",
제주특별자치도,제주시,민속자연사박물관,유료,측정,합계,"1,056,641","405,679","450,599","200,363",
제주특별자치도,제주시,비자림,유료,측정,내국인,"2,153,613","894,318","863,646","395,649",
제주특별자치도,제주시,비자림,유료,측정,외국인,"7,658","2,237","3,865","1,556",
제주특별자치도,제주시,비자림,유료,측정,합계,"2,161,271","896,555","867,511","397,205",
제주특별자치도,제주시,삼양선사유적지,유료,측정,내국인,"33,091","33,091",-,-,
제주특별자치도,제주시,삼양선사유적지,유료,측정,외국인,596,596,-,-,
제주특별자치도,제주시,삼양선사유적지,유료,측정,합계,"33,687","33,687",-,-,
제주특별자치도,제주시,절물자연휴양림,유료,측정,내국인,"1,967,793","814,242","811,402","342,149",
제주특별자치도,제주시,절물자연휴양림,유료,측정,외국인,0,0,0,0,
제주특별자치도,제주시,절물자연휴양림,유료,측정,합계,"1,967,793","814,242","811,402","342,149",
제주특별자치도,제주시,제주도립 김창열미술관,유료,측정,내국인,"36,476",-,"13,679","22,797",
제주특별자치도,제주시,제주도립 김창열미술관,유료,측정,외국인,103,-,39,64,
제주특별자치도,제주시,제주도립 김창열미술관,유료,측정,합계,"36,579",-,"13,718","22,861",
제주특별자치도,제주시,제주돌문화공원,유료,측정,내국인,"499,650","211,024","197,151","91,475",
제주특별자치도,제주시,제주돌문화공원,유료,측정,외국인,"22,369","8,800","8,363","5,206",
제주특별자치도,제주시,제주돌문화공원,유료,측정,합계,"522,019","219,824","205,514","96,681",
제주특별자치도,제주시,제주목관아지,유료,측정,내국인,"433,806","180,628","188,767","64,411",
제주특별자치도,제주시,제주목관아지,유료,측정,외국인,"46,943","12,566","17,541","16,836",
제주특별자치도,제주시,제주목관아지,유료,측정,합계,"480,749","193,194","206,308","81,247",
