,,,2016년,,2017년,,2018년,,,
,,,상반기,하반기,상반기,하반기,상반기,,,
,,,,,,,,구성비,증감률,
,,,,,,,,,전반기  대비,전년반기 대비
계,,,192776,379783,105141,68024,71980,100,5.8,-31.5
부   산,아시아주,,171613,351568,87116,50670,43069,59.8,-15,-50.6
,,한국,8307,3665,7204,4828,8979,12.5,86,24.6
,,중국1),142787,309509,59449,191,253,0.4,32.5,-99.6
,,일본,12486,26932,18088,33304,26885,37.4,-19.3,48.6
,,대만,3474,2788,240,7688,3215,4.5,-58.2,1239.6
,미주,,7947,13297,5568,8756,13501,18.8,54.2,142.5
,구주,,7095,6952,7208,4350,9924,13.8,128.1,37.7
,대양주,,5935,7809,5126,4161,5413,7.5,30.1,5.6
,아프리카,,186,157,123,87,73,0.1,-16.1,-40.7
계,,,501647,707681,186542,6653,12475,100,87.5,-93.3
제주,아시아주,,489458,699017,178639,4241,4776,38.3,12.6,-97.3
제주,,한국,131,182,225,89,184,1.5,106.7,-18.2
제주,,중국1),480419,692851,172909,63,1204,9.7,1811.1,-99.3
제주,,일본,5310,2038,4320,3759,2355,18.9,-37.4,-45.5
제주,,대만,809,1342,254,5,106,0.8,2020,-58.3
제주,미주,,4857,4754,3969,1051,3646,29.2,246.9,-8.1
제주,구주,,5153,2829,2573,1240,3421,27.4,175.9,33
제주,대양주,,2103,985,1312,116,581,4.7,400.9,-55.7
제주,아프리카,,76,96,49,5,51,0.4,920,4.1
계,,,41953,123138,26114,3792,9049,100,138.6,-65.3
인   천,아시아주,,34160,119832,6683,165,1083,12,556.4,-83.8
,,한국,24,51,14,0,487,5.4,- ,3378.6
,,중국1),32877,118796,4708,82,57,0.6,-30.5,-98.8
,,일본,39,58,361,1,12,0.1,1100,-96.7
,,대만,115,329,49,12,26,0.3,116.7,-46.9
,미주,,4910,723,8148,1678,3390,37.5,102,-58.4
,구주,,1480,577,5043,767,2759,30.5,259.7,-45.3
,대양주,,1353,1985,6070,1174,1735,19.2,47.8,-71.4
,아프리카,,50,21,170,8,82,0.9,925,-51.8
계,,,3290,3538,8355,2719,8521,100,213.4,2
기   타,아시아주,,2262,3324,7005,2659,6660,78.2,150.5,-4.9
,,한국,12,0,4789,1072,2353,27.6,119.5,-50.9
,,중국1),1810,3241,19,20,6,0.1,-70,-68.4
,,일본,417,4,2158,1400,1054,12.4,-24.7,-51.2
,,대만,2,71,17,25,3023,35.5,11992,17682.4
,미주,,550,73,535,23,561,6.6,2339.1,4.9
,구주,,236,31,419,35,575,6.7,1542.9,37.2
,대양주,,218,110,391,2,721,8.5,35950,84.4
,아프리카,,24,0,5,0,4,0,-,-20
