제주특별자치도 인구현황(외국인 포함),,,,,,,,,,,,,,,,,,
2015. 6.30 현재,,,,,,,,,,,,,,,,,,
구  분,총인구수,,,,,주민등록인구,,,,,세대수,,,외국인,,,,
,전월,당월,남,여,증감,전월,당월,남자 인구수,여자 인구수,증감,전월,당월,증감,전월,당월,남,여,증감
제주특별자치도,"629,237 ","630,832 ","317,434 ","313,398 ","1,595 ","613,858 ","615,250 ","308,627 ","306,623 ","1,392 ","250,572 ","251,478 ",906 ,"15,379 ","15,582 ","8,807 ","6,775 ",203 
제주시,"463,690 ","464,898 ","233,047 ","231,851 ","1,208 ","453,606 ","454,673 ","227,549 ","227,124 ","1,067 ","182,040 ","182,709 ",669 ,"10,084 ","10,225 ","5,498 ","4,727 ",141 
한림읍,"22,514 ","22,587 ","11,959 ","10,628 ",73 ,"19,568","19,565","10,116 ","9,449 ",-3,"8,934 ","8,933 ",-1,"2,946","3,022","1,843 ","1,179 ",76
애월읍,"30,765 ","30,879 ","15,872 ","15,007 ",114 ,"30,190","30,309","15,554 ","14,755 ",119,"12,548 ","12,621 ",73,575,570,318 ,252 ,-5
구좌읍,"15,018 ","15,074 ","7,727 ","7,347 ",56 ,"14,604","14,656","7,438 ","7,218 ",52,"6,722 ","6,765 ",43,414,418,289 ,129 ,4
조천읍,"21,023 ","21,094 ","10,872 ","10,222 ",71 ,"20,672","20,726","10,654 ","10,072 ",54,"8,535 ","8,575 ",40,351,368,218 ,150 ,17
한경면,"8,617 ","8,662 ","4,395 ","4,267 ",45 ,"8,408","8,444","4,240 ","4,204 ",36,"4,002 ","4,035 ",33,209,218,155 ,63 ,9
추자면,"2,433 ","2,429 ","1,504 ",925 ,-4 ,"2,044","2,040","1,131 ",909 ,-4,"1,147 ","1,143 ",-4,389,389,373 ,16 ,
우도면,"1,683 ","1,685 ",850 ,835 ,2 ,"1,661","1,663",838 ,825 ,2,855 ,854 ,-1,22,22,12 ,10 ,
일도1동,"3,502 ","3,495 ","1,803 ","1,692 ",-7 ,"3,454","3,443","1,776 ","1,667 ",-11,"1,837 ","1,826 ",-11,48,52,27 ,25 ,4
