제주특별자치도 인구현황(외국인 포함),,,,,,,,,,,,,,,,,,
2016. 12. 31일 현재,,,,,,,,,,,,,,,,,,
구  분,총인구수,,,,,주민등록인구,,,,,세대수,,,외국인,,,,
,전월,당월,남,여,증감,전월,당월,남자 인구수,여자 인구수,증감,전월,당월,증감,전월,당월,남,여,증감
제주특별자치도,"659,915 ","661,190 ","333,340 ","327,850 ","1,275 ","640,488 ","641,597 ","322,545 ","319,052 ","1,109 ","266,331 ","266,972 ",641 ,"19,427 ","19,593 ","10,795 ","8,798 ",166 
제주시,"482,660 ","483,325 ","242,674 ","240,651 ",665 ,"470,071 ","470,665 ","235,977 ","234,688 ",594 ,"191,973 ","192,353 ",380 ,"12,589 ","12,660 ","6,697 ","5,963 ",71 
한림읍,"23,856 ","23,851 ","12,669 ","11,182 ",-5 ,"20,444","20,461","10,588 ","9,873 ",17,"9,504 ","9,533 ",29,"3,412","3,390","2,081 ","1,309 ",-22
애월읍,"32,769 ","32,897 ","16,957 ","15,940 ",128 ,"32,038","32,162","16,573 ","15,589 ",124,"13,597 ","13,667 ",70,731,735,384 ,351 ,4
구좌읍,"15,538 ","15,533 ","7,965 ","7,568 ",-5 ,"15,071","15,065","7,642 ","7,423 ",-6,"7,195 ","7,215 ",20,467,468,323 ,145 ,1
조천읍,"22,299 ","22,444 ","11,564 ","10,880 ",145 ,"21,856","21,991","11,309 ","10,682 ",135,"9,211 ","9,279 ",68,443,453,255 ,198 ,10
한경면,"8,984 ","9,000 ","4,606 ","4,394 ",16 ,"8,731","8,745","4,420 ","4,325 ",14,"4,265 ","4,272 ",7,253,255,186 ,69 ,2
추자면,"2,322 ","2,308 ","1,439 ",869 ,-14 ,"1,918","1,906","1,048 ",858 ,-12,"1,101 ","1,093 ",-8,404,402,391 ,11 ,-2
우도면,"1,809 ","1,813 ",961 ,852 ,4 ,"1,784","1,788",948 ,840 ,4,950 ,949 ,-1,25,25,13 ,12 ,
일도1동,"3,373 ","3,346 ","1,734 ","1,612 ",-27 ,"3,310","3,281","1,700 ","1,581 ",-29,"1,799 ","1,803 ",4,63,65,34 ,31 ,2
일도2동,"36,069 ","36,013 ","17,718 ","18,295 ",-56 ,"35,834","35,776","17,635 ","18,141 ",-58,"13,228 ","13,230 ",2,235,237,83 ,154 ,2
이도1동,"8,038 ","8,024 ","3,991 ","4,033 ",-14 ,"7,933","7,917","3,941 ","3,976 ",-16,"3,538 ","3,535 ",-3,105,107,50 ,57 ,2
이도2동,"51,590 ","51,667 ","25,185 ","26,482 ",77 ,"51,095","51,173","24,992 ","26,181 ",78,"19,425 ","19,462 ",37,495,494,193 ,301 ,-1
삼도1동,"14,961 ","14,956 ","7,321 ","7,635 ",-5 ,"14,834","14,830","7,270 ","7,560 ",-4,"6,040 ","6,040 ",,127,126,51 ,75 ,-1
삼도2동,"9,162 ","9,136 ","4,755 ","4,381 ",-26 ,"8,972","8,943","4,641 ","4,302 ",-29,"4,349 ","4,337 ",-12,190,193,114 ,79 ,3
용담1동,"8,103 ","8,066 ","4,121 ","3,945 ",-37 ,"8,046","8,003","4,095 ","3,908 ",-43,"3,732 ","3,711 ",-21,57,63,26 ,37 ,6
용담2동,"16,494 ","16,453 ","8,294 ","8,159 ",-41 ,"16,245","16,209","8,214 ","7,995 ",-36,"6,547 ","6,538 ",-9,249,244,80 ,164 ,-5
건입동,"10,216 ","10,209 ","5,291 ","4,918 ",-7 ,"10,001","9,995","5,157 ","4,838 ",-6,"4,363 ","4,361 ",-2,215,214,134 ,80 ,-1
화북동,"26,049 ","26,028 ","13,018 ","13,010 ",-21 ,"25,740","25,710","12,835 ","12,875 ",-30,"9,467 ","9,454 ",-13,309,318,183 ,135 ,9
삼양동,"21,661 ","21,795 ","10,971 ","10,824 ",134 ,"21,467","21,606","10,914 ","10,692 ",139,"8,001 ","8,041 ",40,194,189,57 ,132 ,-5
봉개동,"3,478 ","3,537 ","1,893 ","1,644 ",59 ,"3,422","3,484","1,863 ","1,621 ",62,"1,415 ","1,435 ",20,56,53,30 ,23 ,-3
아라동,"27,908 ","28,127 ","13,993 ","14,134 ",219 ,"27,053","27,295","13,595 ","13,700 ",242,"10,629 ","10,733 ",104,855,832,398 ,434 ,-23
