제주특별자치도 인구현황(외국인 포함),,,,,,,,,,,,,,,,,,
2019. 10. 31. 현재,,,,,,,,,,,,,,,,,,
구  분,총인구수,,,,,주민등록인구,,,,,세대수,,,외국인,,,,
,전월,당월,남,여,증감,전월,당월,남,여,증감,전월,당월,증감,전월,당월,남,여,증감
제주특별자치도,"696,478 ","696,627 ","351,812 ","344,815 ",149 ,"670,610 ","670,738 ","337,282 ","333,456 ",128 ,"291,976 ","292,412 ",436 ,"25,868 ","25,889 ","14,530 ","11,359 ",21 
제주시,"505,401 ","505,730 ","254,638 ","251,092 ",329 ,"488,823 ","489,089 ","245,440 ","243,649 ",266 ,"208,407 ","208,791 ",384 ,"16,578 ","16,641 ","9,198 ","7,443 ",63 
한림읍,"25,084 ","25,110 ","13,396 ","11,714 ",26 ,"21,388 ","21,380 ","11,013 ","10,367 ",-8 ,"10,369 ","10,412 ",43 ,"3,696 ","3,730 ","2,383 ","1,347 ",34 
애월읍,"37,194 ","37,247 ","19,266 ","17,981 ",53 ,"36,110 ","36,132 ","18,693 ","17,439 ",22 ,"16,012 ","16,047 ",35 ,"1,084 ","1,115 ",573 ,542 ,31 
구좌읍,"16,323 ","16,274 ","8,464 ","7,810 ",-49 ,"15,651 ","15,605 ","8,002 ","7,603 ",-46 ,"7,712 ","7,709 ",-3 ,672 ,669 ,462 ,207 ,-3 
조천읍,"25,114 ","25,155 ","12,949 ","12,206 ",41 ,"24,531 ","24,568 ","12,607 ","11,961 ",37 ,"10,796 ","10,815 ",19 ,583 ,587 ,342 ,245 ,4 
한경면,"9,423 ","9,432 ","4,833 ","4,599 ",9 ,"9,065 ","9,072 ","4,582 ","4,490 ",7 ,"4,671 ","4,686 ",15 ,358 ,360 ,251 ,109 ,2 
추자면,"2,079 ","2,067 ","1,260 ",807 ,-12 ,"1,743 ","1,732 ",942 ,790 ,-11 ,"1,042 ","1,036 ",-6 ,336 ,335 ,318 ,17 ,-1 
우도면,"1,915 ","1,915 ","1,003 ",912 ,0 ,"1,883 ","1,882 ",983 ,899 ,-1 ,"1,009 ","1,010 ",1 ,32 ,33 ,20 ,13 ,1 
일도1동,"2,868 ","2,837 ","1,487 ","1,350 ",-31 ,"2,775 ","2,747 ","1,439 ","1,308 ",-28 ,"1,588 ","1,582 ",-6 ,93 ,90 ,48 ,42 ,-3 
