제주특별자치도 인구현황(외국인 포함),,,,,,,,,,,,,,,,,,
2019. 6. 30. 현재,,,,,,,,,,,,,,,,,,
구  분,총인구수,,,,,주민등록인구,,,,,세대수,,,외국인,,,,
,전월,당월,남,여,증감,전월,당월,남,여,증감,전월,당월,증감,전월,당월,남,여,증감
제주특별자치도,"694,726 ","695,145 ","351,159 ","343,986 ",419 ,"669,328 ","669,771 ","336,944 ","332,827 ",443 ,"290,151 ","290,621 ",470 ,"25,398 ","25,374 ","14,215 ","11,159 ",-24 
제주시,"504,080 ","504,433 ","254,007 ","250,426 ",353 ,"487,697 ","488,072 ","244,980 ","243,092 ",375 ,"206,883 ","207,262 ",379 ,"16,383 ","16,361 ","9,027 ","7,334 ",-22 
한림읍,"25,109 ","25,117 ","13,361 ","11,756 ",8 ,"21,441 ","21,442 ","11,041 ","10,401 ",1 ,"10,338 ","10,346 ",8 ,"3,668 ","3,675 ","2,320 ","1,355 ",7 
애월읍,"37,019 ","37,116 ","19,238 ","17,878 ",97 ,"35,918 ","36,046 ","18,666 ","17,380 ",128 ,"15,831 ","15,909 ",78 ,"1,101 ","1,070 ",572 ,498 ,-31 
구좌읍,"16,306 ","16,311 ","8,467 ","7,844 ",5 ,"15,641 ","15,650 ","8,016 ","7,634 ",9 ,"7,699 ","7,700 ",1 ,665 ,661 ,451 ,210 ,-4 
조천읍,"24,975 ","25,010 ","12,875 ","12,135 ",35 ,"24,378 ","24,417 ","12,534 ","11,883 ",39 ,"10,696 ","10,718 ",22 ,597 ,593 ,341 ,252 ,-4 
한경면,"9,461 ","9,476 ","4,857 ","4,619 ",15 ,"9,101 ","9,116 ","4,606 ","4,510 ",15 ,"4,682 ","4,692 ",10 ,360 ,360 ,251 ,109 ,0 
추자면,"2,068 ","2,069 ","1,264 ",805 ,1 ,"1,750 ","1,741 ",951 ,790 ,-9 ,"1,036 ","1,035 ",-1 ,318 ,328 ,313 ,15 ,10 
우도면,"1,912 ","1,906 ","1,000 ",906 ,-6 ,"1,876 ","1,869 ",980 ,889 ,-7 ,"1,014 ","1,006 ",-8 ,36 ,37 ,20 ,17 ,1 
일도1동,"2,928 ","2,913 ","1,536 ","1,377 ",-15 ,"2,832 ","2,817 ","1,480 ","1,337 ",-15 ,"1,615 ","1,618 ",3 ,96 ,96 ,56 ,40 ,0 
일도2동,"34,312 ","34,283 ","16,846 ","17,437 ",-29 ,"34,002 ","33,982 ","16,754 ","17,228 ",-20 ,"13,166 ","13,186 ",20 ,310 ,301 ,92 ,209 ,-9 
이도1동,"7,840 ","7,832 ","3,830 ","4,002 ",-8 ,"7,703 ","7,694 ","3,773 ","3,921 ",-9 ,"3,656 ","3,645 ",-11 ,137 ,138 ,57 ,81 ,1 
이도2동,"50,612 ","50,655 ","24,821 ","25,834 ",43 ,"49,945 ","49,982 ","24,537 ","25,445 ",37 ,"19,975 ","20,016 ",41 ,667 ,673 ,284 ,389 ,6 
삼도1동,"14,127 ","14,096 ","6,909 ","7,187 ",-31 ,"13,981 ","13,947 ","6,837 ","7,110 ",-34 ,"5,913 ","5,903 ",-10 ,146 ,149 ,72 ,77 ,3 
삼도2동,"8,529 ","8,510 ","4,448 ","4,062 ",-19 ,"8,254 ","8,239 ","4,282 ","3,957 ",-15 ,"4,098 ","4,092 ",-6 ,275 ,271 ,166 ,105 ,-4 
용담1동,"7,448 ","7,423 ","3,815 ","3,608 ",-25 ,"7,360 ","7,338 ","3,780 ","3,558 ",-22 ,"3,488 ","3,489 ",1 ,88 ,85 ,35 ,50 ,-3 
용담2동,"15,543 ","15,523 ","7,772 ","7,751 ",-20 ,"15,277 ","15,260 ","7,690 ","7,570 ",-17 ,"6,426 ","6,428 ",2 ,266 ,263 ,82 ,181 ,-3 
건입동,"9,673 ","9,676 ","5,008 ","4,668 ",3 ,"9,419 ","9,417 ","4,853 ","4,564 ",-2 ,"4,176 ","4,174 ",-2 ,254 ,259 ,155 ,104 ,5 
화북동,"25,368 ","25,369 ","12,696 ","12,673 ",1 ,"24,942 ","24,947 ","12,464 ","12,483 ",5 ,"9,574 ","9,599 ",25 ,426 ,422 ,232 ,190 ,-4 
삼양동,"25,459 ","25,580 ","12,821 ","12,759 ",121 ,"25,210 ","25,332 ","12,732 ","12,600 ",122 ,"9,400 ","9,446 ",46 ,249 ,248 ,89 ,159 ,-1 
봉개동,"5,306 ","5,322 ","2,764 ","2,558 ",16 ,"5,204 ","5,225 ","2,722 ","2,503 ",21 ,"2,265 ","2,275 ",10 ,102 ,97 ,42 ,55 ,-5 
아라동,"35,059 ","35,133 ","17,485 ","17,648 ",74 ,"33,799 ","33,888 ","16,865 ","17,023 ",89 ,"13,629 ","13,662 ",33 ,"1,260 ","1,245 ",620 ,625 ,-15 
오라동,"15,385 ","15,436 ","7,800 ","7,636 ",51 ,"15,142 ","15,191 ","7,685 ","7,506 ",49 ,"5,736 ","5,755 ",19 ,243 ,245 ,115 ,130 ,2 
연동,"43,480 ","43,482 ","21,371 ","22,111 ",2 ,"41,503 ","41,479 ","20,421 ","21,058 ",-24 ,"19,679 ","19,688 ",9 ,"1,977 ","2,003 ",950 ,"1,053 ",26 
노형동,"56,319 ","56,310 ","27,837 ","28,473 ",-9 ,"53,805 ","53,800 ","26,444 ","27,356 ",-5 ,"21,250 ","21,300 ",50 ,"2,514 ","2,510 ","1,393 ","1,117 ",-4 
외도동,"21,826 ","21,863 ","11,008 ","10,855 ",37 ,"21,528 ","21,571 ","10,879 ","10,692 ",43 ,"8,234 ","8,272 ",38 ,298 ,292 ,129 ,163 ,-6 
이호동,"4,737 ","4,724 ","2,422 ","2,302 ",-13 ,"4,569 ","4,556 ","2,339 ","2,217 ",-13 ,"1,880 ","1,879 ",-1 ,168 ,168 ,83 ,85 ,0 
도두동,"3,279 ","3,298 ","1,756 ","1,542 ",19 ,"3,117 ","3,126 ","1,649 ","1,477 ",9 ,"1,427 ","1,429 ",2 ,162 ,172 ,107 ,65 ,10 
서귀포시,"190,646","190,712","97,152","93,560",66 ,"181,631 ","181,699 ","91,964 ","89,735 ",68 ,"83,268 ","83,359 ",91 ,"9,015 ","9,013 ","5,188 ","3,825 ",-2 
대정읍,"23,136","22,964 ","11,355 ","11,609 ",-172 ,"21,415 ","21,334 ","10,436 ","10,898 ",-81 ,"10,049 ","10,022 ",-27 ,"1,721 ","1,630 ",919 ,711 ,-91 
남원읍,"19,896","19,915 ","10,372 ","9,543 ",19 ,"19,126 ","19,125 ","9,847 ","9,278 ",-1 ,"8,524 ","8,528 ",4 ,770 ,790 ,525 ,265 ,20 
성산읍,"17,237","17,266 ","9,270 ","7,996 ",29 ,"15,484 ","15,499 ","8,118 ","7,381 ",15 ,"7,885 ","7,890 ",5 ,"1,753 ","1,767 ","1,152 ",615 ,14 
안덕면,"12,567","12,613 ","6,476 ","6,137 ",46 ,"11,867 ","11,888 ","6,136 ","5,752 ",21 ,"6,061 ","6,073 ",12 ,700 ,725 ,340 ,385 ,25 
표선면,"12,797","12,808 ","6,648 ","6,160 ",11 ,"12,365 ","12,378 ","6,367 ","6,011 ",13 ,"5,989 ","6,003 ",14 ,432 ,430 ,281 ,149 ,-2 
송산동,"4,896","4,901 ","2,706 ","2,195 ",5 ,"4,321 ","4,312 ","2,285 ","2,027 ",-9 ,"2,039 ","2,040 ",1 ,575 ,589 ,421 ,168 ,14 
정방동,"2,443","2,448 ","1,241 ","1,207 ",5 ,"2,330 ","2,334 ","1,178 ","1,156 ",4 ,"1,344 ","1,335 ",-9 ,113 ,114 ,63 ,51 ,1 
중앙동,"3,916","3,905 ","1,872 ","2,033 ",-11 ,"3,811 ","3,805 ","1,821 ","1,984 ",-6 ,"2,094 ","2,094 ",0 ,105 ,100 ,51 ,49 ,-5 
천지동,"3,730","3,721 ","1,894 ","1,827 ",-9 ,"3,615 ","3,600 ","1,830 ","1,770 ",-15 ,"1,945 ","1,948 ",3 ,115 ,121 ,64 ,57 ,6 
효돈동,"5,367","5,370 ","2,737 ","2,633 ",3 ,"5,285 ","5,287 ","2,683 ","2,604 ",2 ,"2,265 ","2,270 ",5 ,82 ,83 ,54 ,29 ,1 
영천동,"5,526","5,565 ","2,868 ","2,697 ",39 ,"5,342 ","5,376 ","2,746 ","2,630 ",34 ,"2,456 ","2,465 ",9 ,184 ,189 ,122 ,67 ,5 
동홍동,"24,151","24,185 ","11,860 ","12,325 ",34 ,"22,865 ","22,892 ","11,222 ","11,670 ",27 ,"8,978 ","8,987 ",9 ,"1,286 ","1,293 ",638 ,655 ,7 
서홍동,"10,605","10,624 ","5,261 ","5,363 ",19 ,"10,478 ","10,500 ","5,197 ","5,303 ",22 ,"4,230 ","4,237 ",7 ,127 ,124 ,64 ,60 ,-3 
대륜동,"14,574","14,552 ","7,327 ","7,225 ",-22 ,"14,364 ","14,337 ","7,232 ","7,105 ",-27 ,"6,091 ","6,105 ",14 ,210 ,215 ,95 ,120 ,5 
대천동,"13,886","13,950 ","7,088 ","6,862 ",64 ,"13,659 ","13,722 ","6,988 ","6,734 ",63 ,"6,144 ","6,181 ",37 ,227 ,228 ,100 ,128 ,1 
중문동,"11,555","11,583 ","5,953 ","5,630 ",28 ,"11,220 ","11,244 ","5,787 ","5,457 ",24 ,"5,188 ","5,208 ",20 ,335 ,339 ,166 ,173 ,4 
예래동,"4,364","4,342 ","2,224 ","2,118 ",-22 ,"4,084 ","4,066 ","2,091 ","1,975 ",-18 ,"1,986 ","1,973 ",-13 ,280 ,276 ,133 ,143 ,-4 
" ※ 전월대비 419명 증가(내국인 443, 외국인 -24 / 제주시 353, 서귀포시 66 )",,,,,,,,,,,,,,,,,,
출처 : 행정안전부 주민등록통계 및 출입국관리법에 의거 외국인등록표에 등재된 외국인,,,,,,,,,,,,,,,,,,
