"운전면허 소지자"
"                   "
"                                  2019. 6. 30. 현재"

;[1]
"구  분",,"계","남","여","비 고"
"계",,"440,011","247,010","193,001",""
"제  1  종","소    계","297,851","203,767","94,084",""
,"대    형","42,832","41,842","990",""
,"보    통","254,994","161,902","93,092",""
,"소    형","0","0","0",""
,"대형견인","12","12","0",""
,"소형견인","7","6","1",""
,"구    난","6","5","1",""
"제  2  종","소    계","142,160","43,243","98,917",""
,"보    통","136,112","39,933","96,179",""
,"소    형","75","72","3",""
,"원    자","5,973","3,238","2,735",""
;
