1. 자동차 등록,,,,,,,Registered Motor Vehicles,,,,,,,1. 자동차 등록(계속),,,,,,,Registered Motor Vehicles(Cont'd),,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
(단위 : 대),,,,,,,,,,,,,(Unit : each),,,,,,,,,,,,,(Unit : each)
"연    별

월    별", 합       계1)     Total,,,,승   용   차,,       Passenger cars  ,,  승   합   차      Buses,,,,"Year

Month","연    별

월    별",  화   물   차      Trucks,,,,  특   수   차,,Special cars,,   이 륜 자 동 차   Motor cycle ,,,"Year

Month"
,,관   용,자 가 용,영 업 용,,관   용,자 가 용,영 업 용,,관   용,자 가 용,영 업 용,,,,관   용,자 가 용,영 업 용,,관   용,자 가 용,영 업 용,,관   용,자 가 용,
,,Government,Private,Commercial,,Government,Private,Commercial,,Government,Private,Commercial,,,,Government,Private,Commercial,,Government,Private,Commercial,,Government,Private,
2011,257 154,1 523,230 926,24 705,174 941,484,156 770,17 687,18 562,,14 202,4 050,2011,2011,63 066,670,59 674,2 722,585,59,280,246,18 258,195,18 063,2011
2012,294 488,1 643,260 923,31 922,210 802,590,185 744,24 468,18 935,312,14 199,4 424,2012,2012,64 094,676,60 689,2 729,657,65,291,301,26 024,310,25 714,2012
2013,334 426,1 708,285 863,46 855,247 543,599,208 340,38 604,19 659,333,14 290,5 036,2013,2013,66 523,706,62 931,2 886,701,70,302,329,26 480,366,26 114,2013
2014,384 117,1 752,310 997,71 368,293 527,616,230 895,62 016,20 634,349,14 238,6 047,2014,2014,69 177,713,65 517,2 947,779,74,347,358,27 421,365,27 056,2014
2015,435 015,1 845,338 719,94 451,339 547,652,254 877,84 018,21 392,356,14 113,6 923,2015,2015,73 181,760,69 336,3 085,895,77,393,425,28 592,381,28 211,2015
2016,467 243,1 973,354 642,110 628,368 293,694,267 787,99 812,21 139,383,13 688,7 068,2016,2016,76 781,820,72 727,3 234,1 030,76,440,514,29 886,391,29 495,2016
1월,438 283,1 847,340 354,96 082,342 467,653,256 221,85 593,21 414,358,14 087,6 969,Jan.,1월,73 500,760,69 650,3 090,902,76,396,430,28 561,380,28 181,Jan.
2월,440 384,1 852,341 416,97 116,344 434,652,257 131,86 651,21 322,364,14 040,6 918,Feb.,2월,73 720,760,69 847,3 113,908,76,398,434,28 730,379,28 351,Feb.
3월,443 346,1 863,343 002,98 481,346 940,656,258 380,87 904,21 405,368,14 014,7 023,Mar.,3월,74 089,763,70 209,3 117,912,76,399,437,28 969,385,28 584,Mar.
4월,446 897,1 877,344 537,100 483,349 941,660,259 552,89 729,21 555,368,14 020,7 167,Apr.,4월,74 470,773,70 558,3 139,931,76,407,448,29 345,380,28 965,Apr.
5월,449 682,1 891,345 887,101 904,352 370,662,260 603,91 105,21 549,368,13 970,7 211,May,5월,74 825,785,70 904,3 136,938,76,410,452,29 595,380,29 215,May
6월,453 778,1 909,347 694,104 175,355 910,658,261 984,93 268,21 627,379,13 940,7 308,June,6월,75 292,796,71 356,3 140,949,76,414,459,29 771,380,29 391,June
7월,457 330,1 951,348 802,106 577,359 049,687,262 775,95 587,21 655,383,13 919,7 353,July,7월,75 662,804,71 688,3 170,964,77,420,467,29 896,382,29 514,July
8월,458 797,1 943,349 595,107 259,360 289,683,263 378,96 228,21 658,379,13 907,7 372,Aug.,8월,75 880,805,71 886,3 189,970,76,424,470,29 968,384,29 584,Aug.
9월,460 308,1 947,350 600,107 761,361 720,684,264 249,96 787,21 497,377,13 836,7 284,Sept.,9월,76 112,809,72 090,3 213,979,77,425,477,29 941,384,29 557,Sept.
10월,461 876,1 949,351 651,108 276,363 288,673,265 216,97 399,21 337,385,13 785,7 167,Oct.,10월,76 255,811,72 224,3 220,996,80,426,490,29 828,387,29 441,Oct.
11월,464 607,1 943,353 167,109 497,365 744,680,266 422,98 642,21 257,388,13 745,7 124,Nov.,11월,76 595,797,72 565,3 233,1 011,78,435,498,29 808,388,29 420,Nov.
12월,467 243,1 973,354 642,110 628,368 293,694,267 787,99 812,21 139,383,13 688,7 068,Dec.,12월,76 781,820,72 727,3 234,1 030,76,440,514,29 886,391,29 495,Dec.
,,,,,,,,,,,,,,,,,,,,,,,,,,
자료 : 교통정책과 (064-710-2463),,,,,,,,,,,Source : Transportation Policy Division,,,자료 : 교통정책과 (064-710-2463),,,,,,,,,,Source : Transportation Policy Division,,
"주주 : 1) 합계는 이륜자동차 미포함, 리스차량",,,,,,,,,,, Note : 1) Excluding Motorcycle,,,"주주 : 1) 합계는 이륜자동차 미포함, 리스차량",,,,,,,,,, Note : 1) Excluding Motorcycle,,
