,환승센터유형코드,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,환승센터면적,환승대상교통시설,버스정류소ID,버스정류소명,도시철도노선번호,도시철도노선명,도시철도역사번호,도시철도역사명,고속일반철도노선번호,고속일반철도노선명,고속일반철도역사명,여객자동차터미널명,공항여객터미널명,항만대합실명,일반주차단위구획수,대형주차단위구획수,기타환승대상교통시설명,점자판설치여부,무장애환경여부,편의시설종류,지정일자,지정목적,개발시작년도,개발종료년도,개발주체유형코드,운영유무,데이터기준일자
고산환승정류장,5,제주특별자치도,제주시,50110,제주특별자치도 제주시 한경면 칠전로 1,제주특별자치도 제주시 한경면 고산리 2865-5,33.3011587,126.180307,24,1,405000892+405001277,고산환승정류장,,,,,,,,,,,,,,Y,Y,,2017-08-06,,2017,2017,2,Y,2019-06-20
김녕환승정류장,5,제주특별자치도,제주시,50110,제주특별자치도 제주시 구좌읍 김녕로 117,제주특별자치도 제주시 구좌읍 김녕리 1656,33.5552575,126.7505618,24,1,405001344+405001345,김녕환승정류장,,,,,,,,,,,,,,Y,Y,,2017-08-06,,2017,2017,2,Y,2019-06-20
남원환승정류장,5,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 남원읍 남원체육관로 342,제주특별자치도 서귀포시 남원읍 남원리 211-2,33.28143319,126.7212018,24,1,406001604,남원환승정류장,,,,,,,,,,,,,,Y,Y,,2017-08-06,,2017,2017,2,Y,2019-06-20
대정환승정류장,5,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 대정읍 동일하모로 206-1,제주특별자치도 서귀포시 대정읍 하모리 1417-1,33.2256488,126.2532014,24,1,406001546+406001546,대정환승정류장,,,,,,,,,,,,,,Y,Y,,2017-08-06,,2017,2017,2,Y,2019-06-20
대천환승정류장,5,제주특별자치도,서귀포시,50130,제주특별자치도 제주시 구좌읍 번영로 2009,제주특별자치도 제주시 구좌읍 송당리 산 126-3,33.4361177,126.7362888,24,1,405001165+405001172+405001173+405001174+405002002+405002133+405002134,대천환승정류장,,,,,,,,,,,,,,Y,Y,,2017-08-06,,2017,2017,2,Y,2019-06-20
동광환승정류장,5,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 안덕면 신화역사로 493,제주특별자치도 서귀포시 안덕면 동광리 942-6,33.31032515,126.3402324,24,1,406000963+406000964+406000965+406000966+406001227+406001590+406001653+406001654,동광환승정류장,,,,,,,,,,,,,,Y,Y,,2017-08-06,,2017,2017,2,Y,2019-06-20
서귀포환승정류장,5,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 일주동로 8690,제주특별자치도 서귀포시 법환동 843,33.2532651,126.5600836,8620,1,406001230,서귀포환승정류장,,,,,,,,,,,,,,Y,Y,,2017-08-06,,2017,2017,2,Y,2019-06-20
성산환승정류장,5,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 성산읍 일출로 12,제주특별자치도 서귀포시 성산읍 고산리 1099-4,33.4472196,126.9140898,24,1,406001087+406001088,성산환승정류장,,,,,,,,,,,,,,Y,Y,,2017-08-06,,2017,2017,2,Y,2019-06-20
성읍환승정류장,5,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 성읍민속로 137,제주특별자치도 서귀포시 표선면 성읍리 728-5,33.3891751,126.7982555,24,1,406001600+406001599,성읍환승정류장,,,,,,,,,,,,,,Y,Y,,2017-08-06,,2017,2017,2,Y,2019-06-20
세화환승정류장,5,제주특별자치도,제주시,50110,제주특별자치도 제주시 구좌읍 구좌로 47,제주특별자치도 제주시 구좌읍 세화리 1465-6,33.5233075,126.8566747,24,1,405000974+405001127,세화환승정류장,,,,,,,,,,,,,,Y,Y,,2017-08-06,,2017,2017,2,Y,2019-06-20
신산환승정류장,5,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 성산읍 일주동로 5122,제주특별자치도 서귀포시 성산읍 신산리 1041-4,33.3800757,126.8752944,24,1,406001057+406001058,신산환승정류장,,,,,,,,,,,,,,Y,Y,,2017-08-06,,2017,2017,2,Y,2019-06-20
신창환승정류장,5,제주특별자치도,제주시,50110,제주특별자치도 제주시 한경면 두신로 87,제주특별자치도 제주시 한경면 신창리 261-8,33.350978,126.1830135,24,1,405000989+405001268,신창환승정류장,,,,,,,,,,,,,,Y,Y,,2017-08-06,,2017,2017,2,Y,2019-06-20
애월환승정류장,5,제주특별자치도,제주시,50110,제주특별자치도 제주시 애월읍 애월로 118,제주특별자치도 제주시 애월읍 애월리 1584-6,33.4643446,126.3198712,24,1,405001201+405002077,애월환승정류장,,,,,,,,,,,,,,Y,Y,,2017-08-06,,2017,2017,2,Y,2019-06-20
