구분1,평일,토요일,일요일
서울,"4,343,439","3,577,659","2,882,795"
부산,"1,010,546","884,230","704,574"
대구,"484,403","423,814","323,343"
인천,"810,917","663,689","527,827"
광주,"215,232","162,530","127,113"
대전,"254,703","206,883","169,594"
울산,"137,686","109,352","88,271"
세종,"23,443","16,754","13,532"
경기,"3,092,814","2,506,403","1,988,055"
강원,"99,807","77,374","61,862"
충북,"105,412","81,082","67,886"
충남,"126,254","107,735","93,972"
전북,"112,721","82,679","63,294"
전남,"116,302","90,328","67,885"
경북,"164,902","133,908","106,878"
경남,"336,477","272,215","207,662"
제주,"79,115","61,257","50,337"
